Carrier,L1,L2,L3,L4,L5
1 world tec,noc@1worldtec.com,,,,
1FONE GlOBAL,noc.sms@1foneglobal.com,himanshi@1foneglobal.com,,,
1World Technologies,noc@1worldtec.com,,,,
2 Way,noc@2wayssms.com,devender@2wayssms.com,,,
42 Telecom Limited,support@fortytwo.com,,,,
6g Tech,smsnoc@6gtechsystems.com,,,,
Acmetel,sms.noc@acmetel.ae;sms.noc@acmetel.com,era.danielyan@acmetel.com,,,
Activatel,noc-sms@activatel.com,anna@activatel.com,,,
Advoic,nocteam@advoic.com,vedant.chaturvedi@advoic.com,,,
AE Telco,support@aetelco.com,supacport@aetelco.com,,,
Airtel,servicedesk.voice@airtel.com,chetan.batra@airtel.com,a_rishikanta.das@airtel.com,ankur.singhal@airtel.com,
Airtime ,sms-support@airtime.cl,,,,
Alfacall,sms.noc@alfacall.net,anand@alfacall.net,,,
Alibaba Cloud,iqbal.hussain@alibaba-inc.com,,,,
Alienics,support@alienics.com,shailesh@alienics.com,,,
Allegro,usama@allegrotelecom.com,,,,
AMA Telecom,support@amatele.com,timur@amatele.com,,,
Aruhat,noc@aruhat.com,hardik.raval@aruhat.com,,,
Asia Sunrise Telecom Limited,nochkast@asiasunrisetel.com,,,,
AVISO MESSAGING LTD.,routing@avisomsg.com,sales@avisomsg.com,,,
Bankai,sms.noc@broadbandtele.net,vijay.pal@broadbandtele.net,prakash.singh@broadbandtele.net,,
BBT,sms.noc@bbtvoice.com,,,,
Beenet,support@beenetmunication.com,sayali@beenetmunication.com,,,
Black Box,help@interconnect.solutions,,,,
Botto (Prepaid),tech@botto.ai,bill@botto.ai,,,
Brilliant ,support_sms@brilliantholdings.com,vvn@brilliantholdings.com,,,
Broadnet,noc@broadnet.me,nishtha@broadnet.me,,,
Byti Technologies,support@bytitech.com,Simanta.anjan@bytitech.com,,,
Candytel,sales@candytel.com,,,,
Chat Link,Noc.SMS@Chat-link.Net;ashish.dhar@chat-link.net,,,,
China Unicom,hq-gpd-a2ptech@chinaunicom.cn;hq-gpd-nocmob@chinaunicom.cn,kaushalnitin@chinaunicom.cn,,,
Chonry,support@chonry.com,cici.lu@chuangruigroup.com,,,
CloTech,NOC.SMS@clo-tech.com,,,,
CMI,mvnoc@cmi.chinamobile.com,tanyamanikam@cmi.chinamobile.com;nelsonchan@cmi.chinamobile.com,alberttse@cmi.chinamobile.com,waytonwong@cmi.chinamobile.com,rogercai@cmi.chinamobile.com
Confiar Technology Limited,smsnoc@confiartech.com,devika@confiartech.com,,,
Converse Mobile,Support@ConverseMobile.com,Serge@ConverseMobile.com,,,
Data Play,madan@dataplaysolution.com,kirank@dataplaysolution.com,,,
Datora Telecom,int.noc@datora.net,daniela.baptista@datora.net,,,
Devotel,sms.noc@devotel.io,sirarpi@devotel.io,,,
DEXATEL,supportsms@dexatel.com,,,,
Digintra,support@digintra.com,md.a@digintra.com,,,
Digital World,sms.noc@digiworldcom.net,paul@digiworldcom.net,,,
DirQ,support@direq.io,,,,
Evolve Tech - F.Z.E,sms.noc@evolve-tech.co,dheeraj@evolve-tech.co,,,
Excelsior bird,noc@excelsiorbird.com,ravin@excelsiorbird.com,,,
Fixun,feixun6688@outlook.com,,,,
Frison,support@frs-cloud.com,Julia@frs-cloud.com,,,
G729,Sms.noc@g729.es,Sms.sales@g729.es,,,
GCN,support.sms@gcn-tel.net,ansuman@gcn-tel.net,,,
Global Teknoloji (Beox),noc@beox.com,selin.turp@beox.com,,,
Global Voice,smsnoc@global-voice.net,,,,
Global Voip,noc1@globalvoip.ca,noc2@globalvoip.ca,noc4@globalvoip.ca,sengupta@globalvoip.ca,
GREENSATELLITE - UNIPESSOAL LDA,noc.sms@greensatellite.pt,d.bulat@greensatellite.pt,,,
GTALKTOALL,sms.noc@talk2all.net,rita@talk2all.com.cn,,,
GTS,noc.sms@globeteleservices.com,krishnakant.patel@globeteleservices.com;nishant.rajput@globeteleservices.com,gaurav.gupta@globeteleservices.com,rajiv.singla@globeteleservices.com,
Gupshup,n/a,,,,
Heyspeed,support@heyscloud.com,kino_chen@heyscloud.com,,,
HICELL TELECOMMUNICATION LTD,support@hicell.com,t.theart@hicell.com;d.carstens@hicell.com,,,
Icon Globe,noc@iconglobal.co.uk,saahil.arora@iconglobal.co.uk,,,
IMLINK,support@imlink.io,ek@imlink.io,,,
Infinity Telecom,tt@inftele.com,a.ignatenko@inftele.com,,,
Infobip,support@infobip.com,,,,
Integral Worldwide (IWW),noc@integralworldwide.com,swati@integralworldwide.com,cyril@integralworldwide.com,,
INTELLIALGOS-FZCO,support@intellialgos.com,S.dbouk@intellialgos.com,,,
ITNIO,support@itniotech.com,billypeng@itniotech.com,,,
JIO (Reliance India),RJIL.ILDVoice@ril.com;Jio.NOCILDOpsVoice@ril.com,Shaikh.S.Mohammed@ril.com;Tatyasaheb.Kute@ril.com,Narendra.Kholiya@ril.com,Bhawarlal.Trivedi@ril.com,
JT (Jersey) Limited,n/a,,,,
Kaiseerlicher,smsnoc@kaiserlicherdienst.de,,,,
Kite,noc@kitetelco.com,dilawar@kitetelco.com,,,
Klouder,support@kloudsms.com;hasan@kloudsms.com,,,,
KOL Telecom,noc@koltelecom.com,m.jansha@koltelecom.com,sunil@koltelecom.com,,
Lexico (LexTel),support@lexico-sms.com,m.hrychan@lexico-sms.com,,,
LINK Messaging AG,support@link-messaging.com,maria.liukina@linkmobility.com,,,
LMS,support@lmservices.in,,,,
Loop Mobility,Noc.SG@loopmobility.com,tejpreet.singh@loopmobility.com,,,
Messaging Now,support@messagingnow.com,,,,
Micro Cloud Technology Pte. Ltd.,noc@microcloudltd.com,jayshree@microcloudltd.com,,,
Microtalk,sms.support@microtalkgroup.com,robins.singh@microtalkgroup.com,kate.sannykova@microtalkgroup.com,paul.havel@microtalk.co.uk,
Millegro,support@milagrotel.com,mamo@milagrotel.com,,,
MIR SOLUTIONS,noc.sms@mirsolutionsoverseas.com,prodip@mirsolutionsoverseas.com,,,
Mitto,support@mitto.ch,andrea@mitto.ch,,,
MMD,noc.sms@telwhiz.com,,,,
Mobeep,support@mobeep.io,shammi@mobeep.io,nishank@mobeep.io,,
Mobeep LLC-FZ,support@mobeep.io,shammi@mobeep.io,nishank@mobeep.io,,
Mobishastra,support@mobishastra.com;divyata@telkosh.com ,divyata@telkosh.com,,,
Mocean,support@moceansms.com,joycelyn_lee@moceansms.com,,,
Montnets,noc@montnets.com,farhan.dipo@int-montnets.com;serenasun@int-montnets.com;hazelhuang@int-montnets.com;benling@int-montnets.com,,,
Monty Mobile,support@montymobile.com;noc@montymobile.com,,,,
Mr Messaging,support@mrmessaging.net,chris.boyd@mrmessaging.net,,,
Muasrt,smssupport@muasrt.com,usman@muasrt.com,,,
NALIA GLOBAL TECHNOLOGIES,sms.support@naliaglobal.net,sales7@naliaglobal.net,,,
Neso Telec,Sms.noc@nesotelecom.com,harris@nesotelecom.com,Adelle@nesotelecom.com,,
Network Creative Solutions,noc@networkcreativesolutions.com,mudassir1@networkcreativesolutions.com,,,
NexG Enterprises FZCO,techsupport@nexgenterprises.com,,,,
Next Mobile P.S.A.,noc@nextmobile.pl,edyta.mosiej@nextmobile.pl,,,
NGN,helpdesk.sms@ngncorp.com,,,,
NTH,24x7@nth.ch,messaging.support@nth.ch,,,
NX Cloud,noc@nxcloud.com,,,,
Oak Telecom,support@oak-tel.com,jenny@oak-tel.com,,,
Paasoo,support@paasoo.com,riya.soni@paasoo.com,,,
Pai Telecom,noc.sms@paitelecomm.com,aditi.garg@paitelecomm.com,,,
Pineapple,support@pineapplesms.com,sales@pineapplesms.com,tad@pineapplesms.com,,
Planet Alpha,support@planet-alpha.net,zackv@planet-alpha.net,,,
Progressive,sms.noc@progressivetele.com,sachin.j@progressivetele.com,,,
QBR,smsnoc@qbrtelecomfze.com,ravish@qbrtelecomfze.com,rakesh@qbrtelecomfze.com,,
QGC,noc1@qgcommunications.com,khurram.mushtaq@qgcommunications.com,,,
Qglobal,noc@qglobalsms.com,thomas.odhiambo@qglobalsms.com,,,
Rain Communication,noc.sms@raincommunication.net,romel@raincommunication.net,,,
raza,support@razaengage.com,mdamouri@razaengage.com,asethi@razaengage.com,,
